title,url,author,date,summary
Military parade on Qatar's National Day ," http://english.people.com.cn
/90777/8063283.html ",,2012-12-19 08:59:54 UTC,"&$
 <center><a href=""/cms/template/NewsView.jsp?id=8063283"" class=""abl2"">【1】 </a><a href=""/cms/template/NewsView.jsp?id=8063314"" class=""abl2"">【2】 </a><a href=""/cms/template/NewsView.jsp?id=8063315"" class=""abl2"">【3】 </a><a href=""/cms/template/NewsView.jsp?id=8063316"" class=""abl2"">【4】 </a></center>&$&$
 <center><table border=""0"" align=""center""> <tr><td><a href=""/cms/template/NewsView.jsp?id=8063314""><img src=""/img/2007english/Next.jpg"" border=""0""></a></td></tr></table></center> ..."
Polls open in tight South Korean presidential election," http://english.people.com.cn
/90777/8063235.html ",,2012-12-19 08:48:40 UTC,"SEOUL, Dec. 19 (Xinhua) -- Polls opened early Wednesday morning in South Korea's closely contested presidential election, which pits the daughter of a military strongman against a former human rights lawyer once jailed for protesting his rule.
 
 Voting began at 6:00 a.m. local time at 13,542 polling stations nationwide, with more than 40.4 million eligible voters poised to cast their ballots. Polls close at 6:00 p.m., and the result is expected by midnight.
 
 Opinion surveys released last week ..."
Dubai's new hotel crowned world's tallest hotel ," http://english.people.com.cn
/90777/8063226.html ",,2012-12-19 08:59:54 UTC,"DUBAI, Dec. 17 (Xinhua) -- The Guinness World Records association acknowledged Monday the recently opened 354.7-meter JW Marriott Marquis in Dubai as the world's tallest hotel.
 
 The five-star hotel's general manager Rupprecht Queitsch received Monday the official Guinness World Record certificate, which he proudly presented to reporters.
 
 Located in the Business Bay in central Dubai near the city's main artery Sheikh Zayed Road, the twin-tower JW Marriot Marquis de-crowned Dubai's 333-meter  ..."
U.S. House Speaker eyes 'plan B' for 'fiscal cliff'," http://english.people.com.cn
/90777/8063206.html ",,2012-12-19 08:48:40 UTC,"WASHINGTON, Dec. 18 (Xinhua)-- U.S. House Speaker John Boehner said on Tuesday that he will move to a backup option for the fiscal woes due in January while remained hopeful a broader deal can be reached with the President Barack Obama.
 
 Boehner spoke with reporters after a meeting with the Republican caucus to garner support for his recent offer for higher tax rates for households making over 1 million dollars a year.
 
 ""Our hope continues to be to reach an agreement with the President on a  ..."
DPRK commemorates late leader Kim Jong Il ," http://english.people.com.cn
/90777/8062969.html ",,2012-12-19 08:28:39 UTC,"&$<i>&$Edited and translated by Li Xiang, People's Daily Online&$</i>&$
 
 &$
 <center><a href=""/cms/template/NewsView.jsp?id=8062969"" class=""abl2"">【1】 </a><a href=""/cms/template/NewsView.jsp?id=8063038"" class=""abl2"">【2】 </a><a href=""/cms/template/NewsView.jsp?id=8063039"" class=""abl2"">【3】 </a><a href=""/cms/template/NewsView.jsp?id=8063040"" class=""abl2"">【4】 </a><a href=""/cms/template/NewsView.jsp?id=8063041"" class=""abl2"">【5】 </a><a href=""/cms/template/NewsView.jsp?id=8063042 ..."
Lifting US' veil of 'peace defender'," http://english.people.com.cn
/90777/8062956.html ",,2012-12-19 08:15:17 UTC,"On Dec. 12, the United States formally recognized the newly formed National Coalition for Syrian Revolutionary and Opposition Forces (NCSROF) as the legitimate representative of the Syrian people. However, will greater U.S. involvement bring peace to Syria? 
 
 Since the beginning of the Syrian crisis, Gulf countries, including Qatar and Saudi Arabia, have been the main source of weapons for Syrian rebels. There is something fishy about their arms transactions given the close relations between t ..."
1," http://english.people.com.cn
/90777/8062822.html ",,,"&$<table width=""555"" border=""0"" cellpadding=""0"">
 ..."
"Ban Ki-moon moves to ""new"" office at UN headquarters "," http://english.people.com.cn
/90777/8062692.html ",,2012-12-18 15:39:00 UTC,"&$
 <center><a href=""/cms/template/NewsView.jsp?id=8062692"" class=""abl2"">【1】 </a><a href=""/cms/template/NewsView.jsp?id=8062695"" class=""abl2"">【2】 </a><a href=""/cms/template/NewsView.jsp?id=8062696"" class=""abl2"">【3】 </a><a href=""/cms/template/NewsView.jsp?id=8062697"" class=""abl2"">【4】 </a></center>&$&$
 <center><table border=""0"" align=""center""> <tr><td><a href=""/cms/template/NewsView.jsp?id=8062695""><img src=""/img/2007english/Next.jpg"" border=""0""></a></td></tr></table></center> ..."
Chinese language specialists become popular in Kazakhstan," http://english.people.com.cn
/90777/8062396.html ",,2012-12-18 12:46:30 UTC,"Following the rapid development of China-Kazakhstan relations in recent years, personnel and cultural exchanges between the two countries have become more and more frequent. The specialists of the Chinese language are becoming increasingly popular in Kazakhstan, and Kazakh people have growing interest in studying Chinese as specialists of Chinese language are in high demand in local labor market.
 
 The first group of Chinese language students in the Faculty of Philology of the Eurasian National ..."
Shocking school shooting across the world in recent years," http://english.people.com.cn
/90777/8062361.html ",,2012-12-18 15:17:41 UTC,"The Sandy Hook Elementary School massacre that occurred in U.S. on Dec 15, 2012. A young man killed his mother at home, and then 20 children and six adults at school, before he committed suicide. The latest U.S. school shooting rampage shocked the world again. 
 
 &$<b>World-stunning school shootings in recent years </b>&$
 
 &$<b>2012.08.27 :</b>&$ A high school student is shot on campus in U.S. state of Maryland
 &$<b>2012.04.23:</b>&$ The shooting at a college in the U.S. city of Oakland whic ..."
Arab League official rules out NATO's intervention in Syria," http://english.people.com.cn
/90777/8062025.html ",,2012-12-18 09:11:35 UTC,"CAIRO, Dec. 17 (Xinhua) -- Arab League (AL) Deputy Secretary General Ahmed Ben Helli on Monday ruled out the possibility of NATO's intervention in Syria, official MENA news agency reported.
 
 During a meeting with a NATO delegation, led by NATO Assistant Secretary General for Political Affairs and Security Policy Dirk Brengelmann, Ben Helli said the possibility of NATO's intervention in the Syrian crisis is ""totally ruled out,"" since the efforts now focus on a political solution rather than a m ..."
Palestinians hold rally for release of two prisoners in Israeli jails ," http://english.people.com.cn
/90777/8061692.html ",,2012-12-18 08:39:13 UTC,"&$
 <center><a href=""/cms/template/NewsView.jsp?id=8061692"" class=""abl2"">【1】 </a><a href=""/cms/template/NewsView.jsp?id=8061752"" class=""abl2"">【2】 </a><a href=""/cms/template/NewsView.jsp?id=8061753"" class=""abl2"">【3】 </a><a href=""/cms/template/NewsView.jsp?id=8061754"" class=""abl2"">【4】 </a></center>&$&$
 <center><table border=""0"" align=""center""> <tr><td><a href=""/cms/template/NewsView.jsp?id=8061752""><img src=""/img/2007english/Next.jpg"" border=""0""></a></td></tr></table></center> ..."
Egypt's newly-appointed prosecutor general submits resignation," http://english.people.com.cn
/90777/8061627.html ",,2012-12-18 09:37:24 UTC,"CAIRO, Dec. 17 (Xinhua) -- Egypt's newly-appointed prosecutor general, Talat Ibrahim Abdullah, submitted his resignation to the head of Supreme Council of Justice on Monday, state TV reported.
 
 The resignation came hours after a fresh protest on Monday held by hundreds of members of the general prosecution outside the office of Abdullah, demanding him to resign.
 
 Abdullah, along with his assistant, was surrounded by the crowd when leaving his office after his resignation was submitted. His a ..."
Horrific Connecticut school shooting rekindles gun control debate in U.S.," http://english.people.com.cn
/90777/8061606.html ",,2012-12-18 08:19:52 UTC,"WASHINGTON, Dec. 17 (Xinhua) -- The latest shooting rampage in the U.S. state of Connecticut, in which 20 schoolchildren were cold-bloodedly gunned down on Friday, has rekindled the nation's debate on gun control. But it remains to be seen if this horrific incident could change the trajectory of the debate and lead to tangible results.
 
 BLOODY YEAR OF GUN VIOLENCE
 
 The United States in 2012 saw more than a dozen mass shootings leading to nearly 100 deaths, experiencing a bloody year that has ..."
DPRK top leader congratulates on workers of satellite launch project ," http://english.people.com.cn
/90777/8061583.html ",,2012-12-18 08:20:08 UTC,"&$
 <center><a href=""/cms/template/NewsView.jsp?id=8061583"" class=""abl2"">【1】 </a><a href=""/cms/template/NewsView.jsp?id=8061599"" class=""abl2"">【2】 </a><a href=""/cms/template/NewsView.jsp?id=8061600"" class=""abl2"">【3】 </a><a href=""/cms/template/NewsView.jsp?id=8061601"" class=""abl2"">【4】 </a></center>&$&$
 <center><table border=""0"" align=""center""> <tr><td><a href=""/cms/template/NewsView.jsp?id=8061599""><img src=""/img/2007english/Next.jpg"" border=""0""></a></td></tr></table></center> ..."
Japan's Abe attends press conference in Tokyo ," http://english.people.com.cn
/90777/8061582.html ",,2012-12-18 08:24:35 UTC,"&$
 <center><a href=""/cms/template/NewsView.jsp?id=8061582"" class=""abl2"">【1】 </a><a href=""/cms/template/NewsView.jsp?id=8061653"" class=""abl2"">【2】 </a><a href=""/cms/template/NewsView.jsp?id=8061654"" class=""abl2"">【3】 </a><a href=""/cms/template/NewsView.jsp?id=8061655"" class=""abl2"">【4】 </a><a href=""/cms/template/NewsView.jsp?id=8061656"" class=""abl2"">【5】 </a></center>&$&$
 <center><table border=""0"" align=""center""> <tr><td><a href=""/cms/template/NewsView.jsp?id=8061653""><img s ..."
Unforgettable moments you cannot miss in December(Ⅲ)," http://english.people.com.cn
/90777/8061563.html ",,2012-12-18 08:52:19 UTC,"Edited and Translated by Zhang Qian, People's Daily Online&$
 <center><a href=""/cms/template/NewsView.jsp?id=8061563"" class=""abl2"">【1】 </a><a href=""/cms/template/NewsView.jsp?id=8061832"" class=""abl2"">【2】 </a><a href=""/cms/template/NewsView.jsp?id=8061833"" class=""abl2"">【3】 </a><a href=""/cms/template/NewsView.jsp?id=8061834"" class=""abl2"">【4】 </a><a href=""/cms/template/NewsView.jsp?id=8061835"" class=""abl2"">【5】 </a><a href=""/cms/template/NewsView.jsp?id=8061836"" class=""abl2""> ..."
Korean Peninsula can't stand the vicious cycle," http://english.people.com.cn
/90777/8061559.html ",,2012-12-18 08:24:35 UTC,"The launch of Kwangmyongsong-3 satellite by the DPRK is but a ""routine move"" that highlights the security plight on the Korean Peninsula. The DPRK already launched a satellite earlier this year while South Korea and the United States enhanced their ballistic missile range and load, making security situation on the Korean Peninsula more fragile. 
 
 Those concerned about the situation on the Korean Peninsula understand that here never lacks the impetus for ""change"". Even if these many changes are ..."
